DATE|RCLC1|RCLC2|RCLC3|RCLC4
Mar 30, 1983|||29.35|
Mar 31, 1983|||29.24|
Apr 04, 1983|29.44||29.1|
Apr 05, 1983|29.71||29.35|
Apr 06, 1983|29.92||29.5|
Apr 07, 1983|30.17||29.85|
Apr 08, 1983|30.38||30.19|
Apr 11, 1983|30.26||30|
Apr 12, 1983|30.83||30.62|
Apr 13, 1983|30.82||30.7|
Apr 14, 1983|30.67||30.63|
Apr 15, 1983|30.48||30.31|
Apr 18, 1983|30.75||30.61|
Apr 19, 1983|30.75||30.65|
Apr 20, 1983|30.7||30.63|
Apr 21, 1983|30.68||30.65|
Apr 22, 1983|30.75||30.72|
Apr 25, 1983|30.84||30.81|
Apr 26, 1983|30.71||30.65|
Apr 27, 1983|30.78||30.75|
Apr 28, 1983|30.74||30.7|
Apr 29, 1983|30.63||30.57|
May 02, 1983|30.61||30.5|
May 03, 1983|30.5||30.4|
May 04, 1983|30.42||30.23|
May 05, 1983|30.2||30.04|
May 06, 1983|30.45||30.06|
May 09, 1983|30.1||29.7|
May 10, 1983|30.31||29.81|
May 11, 1983|29.97||29.52|
May 12, 1983|29.72||29.28|
May 13, 1983|29.8||29.3|
May 16, 1983|30.12||29.72|
May 17, 1983|29.91||29.8|
May 18, 1983|29.75||29.75|
May 19, 1983|29.95||29.75|
May 20, 1983|30.3||30.2|
May 23, 1983|30.27||30.15|
May 24, 1983|30.05||29.93|
May 25, 1983|30.25||30.04|
May 26, 1983|30.31||30.2|
May 27, 1983|30.19||30.15|
May 31, 1983|30.25||30.05|
Jun 01, 1983|30.33||30.15|
Jun 02, 1983|30.4||30.2|
Jun 03, 1983|30.36||30.25|
Jun 06, 1983|30.35||30.15|
Jun 07, 1983|30.59||30.39|
Jun 08, 1983|30.6||30.4|
Jun 09, 1983|30.49||30.34|
Jun 10, 1983|30.77||30.55|
Jun 13, 1983|31||30.8|
Jun 14, 1983|31||30.75|
Jun 15, 1983|31.3||31.05|
Jun 16, 1983|31.6||31.2|
Jun 17, 1983|31.4||31.12|
Jun 20, 1983|31.42||31.35|
Jun 21, 1983|31.18||31.05|
Jun 22, 1983|30.95||30.8|
Jun 23, 1983|31.1||30.95|
Jun 24, 1983|31.2||31.15|
Jun 27, 1983|31.2||31.02|
Jun 28, 1983|31.24||31.05|
Jun 29, 1983|31.2||31.05|
Jun 30, 1983|31.38||31.21|
Jul 01, 1983|31.35||31.2|
Jul 05, 1983|31.27||31.15|
Jul 06, 1983|31.2||31.05|
Jul 07, 1983|31.4||31.18|
Jul 08, 1983|31.4||31.2|
Jul 11, 1983|31.64||31.38|
Jul 12, 1983|31.72||31.47|
Jul 13, 1983|31.87||31.75|
Jul 14, 1983|31.85||31.7|
Jul 15, 1983|31.7||31.64|
